date,animal,egg size
20190221,015,9.928
20190221,015,4.026
20190221,015,7.319
20190221,015,6.74
20190221,015,6.173
20190221,015,17.839
20190221,015,7.741
20190221,015,3.38
20190221,015,1.788
20190221,015,9.196
20190221,015,9.323
20190221,015,14.703
20190221,015,8.801
20190221,015,27.171
20190221,015,11.814
20190221,015,8.375
20190221,015,5.661
20190221,015,21.468
20190221,015,9.296
20190221,015,6.97
20190221,015,10.232
20190221,015,16.496
20190221,015,17.59
20190221,015,6.001
20190221,015,5.867
20190221,015,9.725
20190221,015,12.825
20190221,015,15.443
20190221,015,3.588
20190221,015,11.262
20190221,015,7.71
20190221,015,14.536
20190221,015,7.102
20190221,015,8.581
20190221,015,4.32
20190221,015,26.125
20190221,015,22.253
20190221,015,14.131
20190221,015,4.43
20190221,015,3.918
20190221,015,9.438
20190221,015,16.135
20190221,015,6.482
20190221,015,21.592
20190221,015,10.754
20190221,015,12.789
20190221,015,10.17
20190221,015,17.76
20190221,015,6.709
20190221,015,21.623
20190221,015,14.112
20190221,015,8.227
20190221,015,11.527
20190221,015,16.166
20190221,015,11.831
20190221,015,13.595
20190221,015,9.069
20190221,015,3.023
20190221,015,11.606
20190221,015,14.141
20190221,015,16.984
20190221,015,15.697
20190221,015,17.676
20190221,015,5.067
20190221,015,4.009
20190221,015,5.33
20190221,015,17.169
20190221,015,5.711
20190221,015,19.512
20190221,015,21.441
20190221,015,13.071
20190221,015,11.556
20190221,015,7.303
20190221,14,1.649
20190221,14,17.975
20190221,14,13.294
20190221,14,10.182
20190221,14,4.062
20190221,14,1.168
20190221,14,15.541
20190221,14,5.122
20190221,14,1.496
20190221,14,4.758
20190221,14,1.101
20190221,14,12.169
20190221,14,1.695
20190221,14,12.336
20190221,14,19.189
20190221,14,8.382
20190221,14,5.469
20190221,14,15.946
20190221,14,3.358
20190221,14,21.006
20190221,14,3.279
20190221,14,17.061
20190221,14,8.174
20190221,14,12.425
20190221,14,6.103
20190221,14,3.095
20190221,14,23.974
20190221,14,10.855
20190221,14,6.922
20190221,14,20.577
20190221,14,7.111
20190221,14,4.483
20190221,14,2.568
20190221,14,6.975
20190221,14,12.858
20190221,14,2.25
20190221,14,5.122
20190221,14,5.972
20190221,14,1.113
20190221,14,18.21
20190221,14,13.693
20190221,14,18.868
20190221,14,5.163
20190221,14,19.543
20190221,14,13.791
20190221,14,4.296
20190221,14,17.942
20190221,14,13.117
20190221,14,1.139
20190221,14,5.192
20190221,14,1.63
20190221,14,20.948
20190221,14,19.136
20190221,14,3.784
20190221,14,11.518
20190221,14,9.004
20190221,14,2.197
20190221,14,2.954
20190221,14,14.354
20190221,14,14.852
20190221,14,17.573
20190221,14,18.583
20190221,14,1.41
20190221,14,8.964
20190221,14,3.442
20190221,14,7.856
20190221,14,15.541
20190221,14,1.405
20190221,14,21.829
20190221,14,17.808
20190221,14,2.642
20190221,14,6.654
20190221,14,2.846
20190221,14,1.446
20190221,14,4.524
20190221,14,16.601
20190221,14,26.305
20190221,14,5.555
20190221,14,20.103
20190221,14,6.187
20190221,14,4.562
20190221,14,4.083
20190221,14,2.712
20190221,14,7.159
20190221,14,1.247
20190221,14,8.341
20190221,14,1.596
20190221,14,2.489
20190221,14,21.281
20190221,14,5.548
20190221,14,15.012
20190221,14,10.917
20190221,14,21.819
20190221,14,1.388
20190221,14,2.901
20190221,14,5.749
20190221,14,6.975
20190221,14,7.508
20190221,14,4.696
20190221,14,4.114
20190221,14,2.942
20190221,14,2.537
20190221,14,6.312
20190221,14,11.932
20190221,14,17.348
20190221,14,8.935
20190221,14,19.076
20190221,14,24.402
