"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20181212,"20181212_TANK2","low",28.94,9.88,7.64879025982813,45.3237501017089,997.399636225562,1928.12029152431,45.0842510111535,2018.52829263717,2040.735694,0.696259547785894
20181212,"20181212_TANK2","low",28.94,9.88,7.64879025982813,45.3905959417277,998.870659558034,1930.96398429587,45.1507436253723,2021.50532386297,2043.712372,0.697286427826456
20181212,"20181212_TANK3","amb",28.93,9.88,8.50706340998276,4.68047800100372,102.992820687084,1436.55667204152,242.311194088717,1683.54834413125,2038.459156,3.74220580650524
20181212,"20181212_TANK3","amb",28.93,9.88,8.50706340998276,4.6680344472288,102.719003087427,1432.73743174268,241.666983738137,1679.07244992805,2033.351495,3.73225675019516
20181212,"20181212_TANK4","amb",29.92,9.87,8.50707234713862,4.62271735337692,102.269363275072,1434.01881061727,248.049622327739,1686.69115029839,2052.44683,3.82311842737835
20181212,"20181212_TANK4","amb",29.92,9.87,8.50707234713862,4.57690851149878,101.255924055031,1419.80839368623,245.591573293259,1669.97687549099,2033.320315,3.78523321525453
20181212,"20181212_TANK5","low-variable",28.96,9.91,7.84648557211143,28.1089045047168,619.25471991919,1887.03618674442,69.6795224905796,1984.82461373971,2060.648488,1.07613244583938
20181212,"20181212_TANK5","low-variable",28.96,9.91,7.84648557211143,28.1302419239063,619.724796284293,1888.46863254235,69.7324160916112,1986.33129055787,2062.186721,1.07694933605638
20181212,"20181212_TANK6","amb",28.93,9.85,8.51243273312012,4.60334434102454,101.194583005643,1429.35515412551,243.807744974727,1677.76624344126,2035.16302,3.76505771725618
20181212,"20181212_TANK6","amb",28.93,9.85,8.51243273312012,4.61841394967541,101.525855944649,1434.03432239971,244.605879337624,1683.25861568701,2041.438457,3.7773830924929
20181219,"20181219_TANK1","low",28.3,10.64,6.92239132986143,246.351624551958,5538.70015623349,1991.68865413757,8.85908799794057,2246.89936668747,2013.655185,0.137221611348844
20181219,"20181219_TANK1","low",28.3,10.64,6.92239132986143,245.860400297679,5527.6557564901,1987.71723411685,8.84142300830112,2242.41905742283,2009.648435,0.136947991948817
20181219,"20181219_TANK2","low",28.37,10.66,6.85114763240619,288.929139628707,6502.86621623114,1985.11589590075,7.51366579234896,2281.5587013218,2003.718174,0.116374063428376
20181219,"20181219_TANK2","low",28.37,10.66,6.85114763240619,289.703218827641,6520.288718347,1990.43428270127,7.53379589208576,2287.671297421,2009.076821,0.116685844863475
20181219,"20181219_TANK3","amb",28.36,10.67,7.74421715851337,34.6661002987791,780.41526675774,1862.21139748539,55.1087187828557,1951.98621656702,1999.845578,0.853577786581372
20181219,"20181219_TANK3","amb",28.36,10.67,7.74421715851337,34.5281001282517,777.308549086927,1854.79823337993,54.8893398355835,1944.21567334377,1991.993656,0.850179830679456
20181219,"20181219_TANK4","amb",28.39,10.67,7.72468453186049,36.4928653608153,821.681513254958,1874.77801190114,53.0825574012199,1964.35343466318,2007.279252,0.822152528401472
20181219,"20181219_TANK4","amb",28.39,10.67,7.72468453186049,36.503915150299,821.930313631138,1875.34568183211,53.0986304357361,1964.94822741814,2007.879068,0.822401470551465
20181219,"20181219_TANK5","low-variable",28.37,10.67,6.82973509249221,307.452141772735,6922.0415008091,2011.26661563527,7.24925474942417,2325.96801215743,2029.152326,0.11228164273251
20181219,"20181219_TANK5","low-variable",28.37,10.67,6.82973509249221,307.937920421845,6932.97873430567,2014.44444478914,7.26070867249305,2329.64307388347,2032.353063,0.112459049285646
20181219,"20181219_TANK6","amb",28.4,10.65,7.76047091375526,33.3516110190175,750.502635346612,1859.83713378337,57.1527532679436,1950.34149807033,2002.561865,0.885132270441238
20181219,"20181219_TANK6","amb",28.4,10.65,7.76047091375526,33.3539416787964,750.55508174088,1859.96710194594,57.1567471866548,1950.47779081139,2002.699821,0.885194124790061
20190102,"20190102_TANK1","low",28.3,11.49,6.98727950953251,205.354826308353,4746.6117836133,1969.49081977298,10.5160734428627,2185.36171952419,1995.625872,0.16325356389512
20190102,"20190102_TANK2","low",28.27,11.44,6.85483919222812,281.0828566446,6485.43492869141,1984.03403026297,7.78783116116838,2272.90471806874,2003.288521,0.120889769331215
